CommentID,level,reason,status,detected_at,resolved_at
28638002242478844,low,"Lời khuyên tiêu cực chung chung, có thể ám chỉ ngành bảo hiểm.",new,2026-09-08T17:52:25.991083,
28639078045704597,low,Bình luận tiêu cực chung về việc các công ty bảo hiểm trục lợi.,new,2026-09-08T17:52:25.991083,
1747374259803231,low,Phàn nàn về chất lượng dịch vụ bancassurance.,new,2026-09-08T17:53:53.903443,
1748216566385667,low,"Người dùng cảm thấy bị ép mua bảo hiểm và gói sản phẩm không phù hợp, gây thiệt hại tài chính.",new,2026-09-08T17:58:30.745588,
1748264663047524,low,Quy trình bồi thường không nhanh gọn lẹ.,new,2026-09-08T17:58:30.745588,
1748343166373007,low,"Lo ngại về cam kết lâu dài, khó rút lui khỏi hợp đồng.",new,2026-09-08T17:58:53.342034,
1748490659691591,low,Phàn nàn về quyền lợi chi trả ung thư hạn chế và phí cao của Generali.,new,2026-09-08T17:59:24.065350,
1749712886236035,low,nghi ngo tu van sai thong tin,new,2026-09-08T17:59:42.458627,
1749713566235967,low,nghi ngo tu van sai thong tin,new,2026-09-08T17:59:42.458627,
1749812286226095,low,nghi ngo tu van sai thong tin,new,2026-09-08T17:59:42.458627,
1748313529709304,low,Nghi ngờ TVV gian lận chiết khấu.,new,2026-09-08T18:00:04.812502,
1748317836375540,low,Xác nhận TVV tự cắt hoa hồng.,new,2026-09-08T18:00:04.812502,
1748216499719007,low,"Cảm thấy bị ép mua bảo hiểm không phù hợp, quyền lợi thấp.",new,2026-09-08T18:00:04.812502,
1748300339710623,low,Lời tư vấn sai của đại lý có thể gây mất quyền lợi cho khách hàng.,new,2026-09-08T18:01:14.376930,
1748301213043869,low,Phản ánh về chất lượng đại lý bảo hiểm kém.,new,2026-09-08T18:01:14.376930,
1748305339710123,low,Lời tư vấn sai và không nhất quán từ đại lý.,new,2026-09-08T18:01:14.376930,
1748305689710088,low,Lời tư vấn sai từ nhiều đại lý gây khó khăn cho khách hàng.,new,2026-09-08T18:01:14.376930,
1748306866376637,low,Tư vấn sai thông tin từ đại lý.,new,2026-09-08T18:01:25.998610,
1748307349709922,low,Nghi ngờ chất lượng tư vấn viên.,new,2026-09-08T18:01:25.998610,
1748312496376074,low,Lo ngại về đạo đức tư vấn viên.,new,2026-09-08T18:01:25.998610,
1748313099709347,low,Tư vấn sai thông tin lặp lại.,new,2026-09-08T18:01:25.998610,
1748313849709272,low,Thái độ tư vấn viên không đúng.,new,2026-09-08T18:01:25.998610,
1748320653041925,low,Chỉ trích đạo đức tư vấn viên và cảnh báo hậu quả nghiêm trọng.,new,2026-09-08T18:01:25.998610,
1748338919706765,low,dai ly tu van sai thong tin,new,2026-09-08T18:01:35.721904,
1748381403035850,low,TVV tư vấn sai thông tin về việc kê khai.,new,2026-09-08T18:01:49.903722,
1748385979702059,low,Mất niềm tin do quá trình giải quyết vấn đề gây giằng co.,new,2026-09-08T18:01:49.903722,
1748387009701956,low,TVV không chịu trách nhiệm khi hợp đồng bị hủy.,new,2026-09-08T18:01:49.903722,
1748406939699963,low,Nhiều TVV tư vấn sai thông tin về việc kê khai.,new,2026-09-08T18:01:49.903722,
1748418789698778,low,TVV không chịu trách nhiệm khi khách hàng không được chi trả.,new,2026-09-08T18:01:49.903722,
1748439793030011,low,TVV tư vấn sai vì lợi ích cá nhân.,new,2026-09-08T18:01:49.903722,
1749063259634331,low,Tu van sai thong tin ve nghia vu ke khai.,new,2026-09-08T18:02:06.439589,
1748749626332361,low,,new,2026-09-08T18:02:06.439589,
1748572943016696,low,Phàn nàn về hiệu quả của quyền lợi ngoại trú.,new,2026-09-08T18:03:16.763207,
1748694149671242,low,nghi ngờ tư vấn viên cung cấp thông tin sai,new,2026-09-08T18:04:03.587140,
1749269539613703,low,Phàn nàn cá nhân về tư vấn viên.,new,2026-09-08T18:04:41.140027,
1749138492960141,low,ngại va chạm khi phản ánh TVV,new,2026-09-08T18:05:20.658569,
1749179952955995,low,Thời gian chờ bảo lãnh viện phí lâu gây bất tiện.,new,2026-09-08T18:06:09.327993,
1749309712943019,low,Hãng bảo hiểm bị đánh giá là 'tai tiếng'.,new,2026-09-08T18:06:09.327993,
1749821492891841,low,Quyền lợi thấp so với phí đóng,new,2026-09-08T18:06:33.627871,
1749197359620921,low,So sánh bất lợi về quyền lợi và tích lũy,new,2026-09-08T18:06:33.627871,
1749225869618070,low,Khách hàng không hài lòng với quyền lợi sản phẩm.,new,2026-09-08T18:06:33.924746,
1749235576283766,low,Khách hàng không hài lòng với phản hồi từ dịch vụ khách hàng.,new,2026-09-08T18:06:33.924746,
1749241819616475,medium,"TVV tư vấn sai thông tin, ép khách hàng mua thêm sản phẩm phụ.",new,2026-09-08T18:06:33.924746,
1749245466282777,low,Hạn chế của sản phẩm cũ gây bất tiện cho khách hàng.,new,2026-09-08T18:06:33.924746,
1749279082946082,low,Khách hàng không hài lòng với giá trị sản phẩm và tính năng tích lũy.,new,2026-09-08T18:06:33.924746,
1749216426285681,low,Không hài lòng về giá trị tích lũy thấp.,new,2026-09-08T18:07:00.830857,
1749216639618993,low,Cảm giác xót tiền do chi phí.,new,2026-09-08T18:07:00.830857,
1749246792949311,low,Không hài lòng về giá trị hoàn lại thấp.,new,2026-09-08T18:07:00.830857,
1749338566273467,low,Xót tiền vì giá trị tích lũy thấp.,new,2026-09-08T18:07:00.830857,
1750295636177760,low,"thời gian chờ bồi thường quá lâu, không rõ lý do",new,2026-09-08T18:07:29.152139,
1750292922844698,low,hợp đồng bị hủy và từ chối chi trả,new,2026-09-08T18:08:01.965456,
1750296679510989,low,bị từ chối chi trả quyền lợi,new,2026-09-08T18:08:01.965456,
1750331172840873,low,Người thân của TVV bị từ chối bảo hiểm do lịch sử bệnh án.,new,2026-09-08T18:08:20.539989,
1750345522839438,low,Gợi ý TVV không thực hiện đúng trách nhiệm khai báo.,new,2026-09-08T18:08:20.539989,
1750355642838426,low,"Nghi ngờ TVV tư vấn không kỹ, chỉ chạy KPI.",new,2026-09-08T18:08:20.539989,
1750372619503395,low,Gợi ý TVV không tư vấn đầy đủ về kê khai sức khỏe.,new,2026-09-08T18:08:20.539989,
1750393789501278,low,Ngụ ý kênh bán bảo hiểm qua ngân hàng có vấn đề.,new,2026-09-08T18:08:20.539989,
1750655132808477,low,,new,2026-09-08T18:08:32.702342,
1750672599473397,low,,new,2026-09-08T18:08:32.702342,
1750676372806353,low,,new,2026-09-08T18:08:32.702342,
1750687109471946,medium,"Tư vấn viên hướng dẫn khách hàng giấu bệnh, dẫn đến từ chối chi trả.",new,2026-09-08T18:08:32.702342,
1750697292804261,low,,new,2026-09-08T18:08:32.702342,
1750725112801479,low,,new,2026-09-08T18:08:32.702342,
1750746912799299,low,Phàn nàn cá nhân về việc hủy hợp đồng và cáo buộc gian dối.,new,2026-09-08T18:08:33.184939,
1750770689463588,low,Phàn nàn cá nhân về việc chấm dứt hợp đồng sau thẩm định.,new,2026-09-08T18:08:33.184939,
1750802092793781,low,Chỉ trích chung về trách nhiệm của ngành bảo hiểm.,new,2026-09-08T18:08:33.184939,
1750823666124957,low,Phê phán quy trình điều tra không minh bạch.,new,2026-09-08T18:08:57.259943,
1750843536122970,low,"Hợp đồng bị vô hiệu hóa do thiếu kê khai thông tin nhỏ, tư vấn viên thiếu trách nhiệm.",new,2026-09-08T18:08:57.259943,
1750849549455702,low,Gợi ý cần can thiệp pháp lý để giải quyết vấn đề với công ty bảo hiểm.,new,2026-09-08T18:08:57.259943,
1750850289455628,low,Đánh giá hành vi chấm dứt hợp đồng là 'lừa đảo' khi TVV thiếu trách nhiệm.,new,2026-09-08T18:08:57.259943,
1750851856122138,low,"Chỉ trích quảng cáo thiếu minh bạch, tư vấn sai lệch và vấn đề bancassurance.",new,2026-09-08T18:08:57.259943,
1750864222787568,low,"Chỉ trích hợp đồng khó hiểu, tư vấn viên kém chất lượng và khách hàng chịu thiệt.",new,2026-09-08T18:08:57.259943,
1750876769452980,low,Thắc mắc về thời điểm kiểm tra hồ sơ bệnh án và sự không công bằng trong đánh giá.,new,2026-09-08T18:08:57.259943,
1750892466118077,low,Người dùng cho rằng công ty bảo hiểm trục lợi bằng cách từ chối chi trả sau khi đã thu tiền.,new,2026-09-08T18:09:10.608068,
1750893772784613,low,Người dùng cho rằng công ty bảo hiểm cố tình bỏ qua thông tin để bán được hợp đồng.,new,2026-09-08T18:09:10.608068,
1750897462784244,low,Người dùng cáo buộc công ty bảo hiểm trục lợi.,new,2026-09-08T18:09:10.608068,
1750901436117180,low,Người dùng chỉ trích đạo đức của người bán bảo hiểm.,new,2026-09-08T18:09:10.608068,
1750921259448531,medium,Người dùng cáo buộc ngân hàng và công ty bảo hiểm lừa đảo khách hàng thông qua bancassurance.,new,2026-09-08T18:09:10.608068,
1750922962781694,low,Người dùng thấy yêu cầu kê khai bệnh án quá chi tiết và không hợp lý.,new,2026-09-08T18:09:10.608068,
1750946306112693,low,Người dùng chỉ trích tư vấn viên cố tình tư vấn sai để bán được hợp đồng.,new,2026-09-08T18:09:10.608068,
1750988489441808,low,Phàn nàn về tư vấn sai và lật kèo khi chi trả.,new,2026-09-08T18:09:14.636451,
1751014042772586,low,Khách hàng thiệt thòi do kê khai hồ sơ y tế không đầy đủ khi mua bảo hiểm qua ngân hàng.,new,2026-09-08T18:09:14.636451,
1751160709424586,low,Chỉ trích mạnh mẽ môi giới/ngân hàng là lừa đảo.,new,2026-09-08T18:09:14.636451,
1751177816089542,low,Trải nghiệm tiêu cực với bảo hiểm ngân hàng và quy trình bồi thường gây khó dễ.,new,2026-09-08T18:09:14.636451,
1751186459422011,low,"Hệ thống BHYT kê khai bệnh không chính xác, gây hại cho người dùng về lâu dài.",new,2026-09-08T18:09:14.636451,
1751237322750258,low,Cáo buộc công ty bảo hiểm hủy hợp đồng và chiếm đoạt tiền của người bệnh.,new,2026-09-08T18:09:35.149261,
1751393312734659,low,"Nhân viên tư vấn yêu cầu khách hàng không kê khai bệnh sử, tiềm ẩn rủi ro không được chi trả.",new,2026-09-08T18:09:35.149261,
1751394102734580,low,"Tư vấn viên tư vấn hời hợt, không trung thực vì lợi ích cá nhân, gây hại cho khách hàng.",new,2026-09-08T18:09:35.149261,
1751423499398307,low,"Công ty bảo hiểm loại trừ chi trả dựa trên lịch sử VSSID, ngay cả với các ghi nhận y tế không nghiêm trọng.",new,2026-09-08T18:09:35.149261,
1751637632710227,low,Người dùng bị loại trừ bệnh và không được chi trả bảo hiểm.,new,2026-09-08T18:09:43.284788,
1750100542863936,medium,"Chậm giải quyết quyền lợi bảo hiểm hơn 2 tháng, công ty không cung cấp lý do rõ ràng, khách hàng tìm kiếm hướng khiếu nại cơ quan nhà nước.",new,2026-09-08T18:10:49.917847,
1750043769536280,low,Phàn nàn về việc tư vấn viên ép mua sản phẩm không đúng nhu cầu.,new,2026-09-08T18:11:01.120952,
1750909556116368,low,Cảnh báo về thông tin không chính xác từ TVV cá nhân.,new,2026-09-08T18:11:33.536774,
1750313696175954,low,Giới hạn chi trả nằm viện,new,2026-09-08T18:12:01.279660,
1750332339507423,low,Điều khoản loại trừ nhiều,new,2026-09-08T18:12:01.279660,
1750722802801710,low,"Loại trừ bệnh lý tiền sử, không mua được thẻ sức khỏe.",new,2026-09-08T18:12:30.593318,
1750827116124612,low,Phàn nàn về chất lượng dịch vụ tư vấn.,new,2026-09-08T18:13:03.327597,
1751013189439338,low,Từ chối chi trả bồi thường.,new,2026-09-08T18:13:03.327597,
1751014172772573,low,Từ chối bồi thường do bệnh có trước.,new,2026-09-08T18:13:21.959253,
1750827872791203,low,Chỉ trích tư vấn ngân hàng bán bảo hiểm.,new,2026-09-08T18:13:21.959253,
1750836526123671,low,Chỉ trích tư vấn ngân hàng bán bảo hiểm.,new,2026-09-08T18:13:21.959253,
1750839436123380,low,Chỉ trích tư vấn viên bán bảo hiểm.,new,2026-09-08T18:13:21.959253,
1750848389455818,low,Mô tả hành vi tư vấn sai của ngân hàng.,new,2026-09-08T18:13:21.959253,
1750848766122447,low,Mất tiền do tư vấn sai.,new,2026-09-08T18:13:21.959253,
1750849076122416,low,Mất tiền do tư vấn sai.,new,2026-09-08T18:13:21.959253,
1750903196117004,low,Chỉ trích tư vấn viên bán bảo hiểm.,new,2026-09-08T18:13:21.959253,
1751017432772247,low,khach hang bi tu choi boi thuong,new,2026-09-08T18:14:14.849423,
2503130946857463,low,Kêu gọi tẩy chay sản phẩm/công ty.,new,2026-09-08T18:16:23.971643,
2503159420187949,medium,"Ngôn ngữ xúc phạm nghiêm trọng, có thể gây ảnh hưởng xấu.",new,2026-09-08T18:16:23.971643,
2503166980187193,low,Khuyên tránh xa sản phẩm/công ty.,new,2026-09-08T18:16:23.971643,
2503190276851530,low,Gợi ý khởi kiện.,new,2026-09-08T18:16:23.971643,
2503215313515693,low,Thắc mắc về việc chưa khởi kiện.,new,2026-09-08T18:16:23.971643,
2503233813513843,low,Khuyến khích khởi kiện.,new,2026-09-08T18:16:23.971643,
2503273666843191,low,"Vấn đề kéo dài, gây bức xúc.",new,2026-09-08T18:16:23.971643,
2503316870172204,low,"Vấn đề kéo dài, gây khó chịu.",new,2026-09-08T18:16:23.971643,
2503767776793780,low,Khuyến khích khởi kiện.,new,2026-09-08T18:16:23.971643,
2503772053460019,low,Người dùng đã tham khảo luật sư và cho rằng công ty bảo hiểm cố tình.,new,2026-09-08T18:16:34.860566,
2503779823459242,low,Cảnh báo về việc chọn bảo hiểm giá rẻ có thể gây bực mình.,new,2026-09-08T18:16:34.860566,
2503972970106594,low,Cảnh báo về trải nghiệm bồi thường tệ của các công ty bảo hiểm giá rẻ.,new,2026-09-08T18:16:34.860566,
2503721326798425,low,Cảnh báo tiêu cực về một đối tượng cụ thể.,new,2026-09-08T18:16:59.661044,
2504082620095629,low,"Công ty bảo hiểm bị tố lừa bẫy, trừ tiền không minh bạch.",new,2026-09-08T18:17:16.314996,
2504084263428798,low,Công ty bảo hiểm ép khách hàng chấp nhận điều khoản không văn bản.,new,2026-09-08T18:17:16.314996,
2504086400095251,low,"Công ty bảo hiểm trì hoãn giải quyết bồi thường, gây thiệt hại.",new,2026-09-08T18:17:16.314996,
2504148090089082,low,Công ty bảo hiểm cố tình trì hoãn xử lý yêu cầu bồi thường.,new,2026-09-08T18:17:16.314996,
2504157363421488,low,"Tố cáo hành vi ép giá, gian lận của công ty bảo hiểm.",new,2026-09-08T18:17:35.977105,
2505659283271296,low,Cảnh báo về các hành vi gây khó dễ trong bồi thường của công ty bảo hiểm.,new,2026-09-08T18:17:35.977105,
2505917169912174,low,Cảnh báo về hành vi ép giá bồi thường của công ty bảo hiểm.,new,2026-09-08T18:17:35.977105,
2505872283249996,low,Sản phẩm MIC không đền bù PIN xe điện.,new,2026-09-08T18:17:54.883730,
2506564566514101,low,Chê bai hãng bảo hiểm không rõ tên.,new,2026-09-08T18:17:54.883730,
2506702886500269,low,Khó khăn trong quá trình mua bảo hiểm.,new,2026-09-08T18:18:06.843406,
2506753639828527,low,Khả năng bị từ chối chi trả do loại giường.,new,2026-09-08T18:18:06.843406,
2506758356494722,low,Thiếu minh bạch trong quy trình từ chối chi trả.,new,2026-09-08T18:18:06.843406,
2507615123075712,low,"Người dùng không chấp nhận kết quả, có thể liên quan đến bồi thường.",new,2026-09-08T18:18:25.364132,
2506826593154565,low,Lỗi sản phẩm có thể ảnh hưởng đến nhiều người dùng.,new,2026-09-08T18:18:28.515053,
2506827189821172,low,Phàn nàn cụ thể về một công ty bảo hiểm.,new,2026-09-08T18:18:28.515053,
2506829439820947,low,Từ chối bảo hành gây bức xúc cho người dùng.,new,2026-09-08T18:18:28.515053,
2506846056485952,low,Nhận xét tiêu cực về chất lượng sản phẩm.,new,2026-09-08T18:18:28.515053,
2506858183151406,low,Người dùng bày tỏ sự bức xúc rõ ràng về một vấn đề.,new,2026-09-08T18:18:28.515053,
2506859149817976,low,Phàn nàn về cách xử lý và giao tiếp của hãng.,new,2026-09-08T18:18:28.515053,
2506909319812959,low,"Đề xuất người dùng phản đối quyết định từ chối bảo hành, chỉ ra lỗi sản phẩm.",new,2026-09-08T18:18:28.515053,
2506922223145002,low,Người dùng cảm thấy quyết định từ chối bảo hành là vô lý.,new,2026-09-08T18:18:28.515053,
2506923663144858,low,Cáo buộc bảo hiểm né tránh trách nhiệm.,new,2026-09-08T18:18:28.515053,
2506925153144709,low,Người dùng bức xúc về việc từ chối bảo hành lỗi rõ ràng.,new,2026-09-08T18:18:28.515053,
2506928929810998,medium,"Giải thích chi tiết lỗi sản phẩm có thể mang tính hệ thống, ảnh hưởng đến nhiều xe và dẫn đến việc từ chối bảo hành.",new,2026-09-08T18:18:28.515053,
2506974639806427,low,Từ chối bồi thường không hợp lý.,new,2026-09-08T18:18:45.134731,
2507056813131543,low,"Đối tác tìm cách từ chối bảo hành, phân biệt đối xử.",new,2026-09-08T18:18:45.134731,
2507309346439623,low,Lý do từ chối bồi thường không thỏa đáng.,new,2026-09-08T18:18:45.134731,
2507384833098741,low,Lỗi thiết kế xe.,new,2026-09-08T18:18:45.134731,
2507435973093627,low,"Lý do từ chối bồi thường không rõ ràng, thiết kế xe bất tiện.",new,2026-09-08T18:18:45.134731,
2507584329745458,low,Thiết kế sản phẩm có lỗi.,new,2026-09-08T18:18:45.134731,
2507612693075955,low,Từ chối bảo hành.,new,2026-09-08T18:18:45.134731,
2253256898945597,low,"Lỗi hệ thống ghi nhận phí bảo hiểm, gây mất hợp đồng và khó chứng minh.",new,2026-09-14T18:00:37.757085,
2253299705607983,low,Nghi ngờ tư vấn viên chiếm đoạt phí bảo hiểm của khách hàng.,new,2026-09-14T18:00:37.757085,
2253300185607935,low,nghi ngo tvv bien thu tien,new,2026-09-14T18:01:00.415808,
2253334975604456,low,tvv co tinh lua doi trong thu phi,new,2026-09-14T18:01:00.415808,
1622488282668805,low,"quy trình phức tạp, cam kết dài hạn",new,2026-09-15T09:39:20.492008,
1622804612637172,low,"TVV không nhận được thông báo từ công ty, có thể ảnh hưởng đến khách hàng.",new,2026-09-15T09:42:52.591194,
1622809645970002,low,TVV không nhận được thông báo từ công ty trong quá trình tranh chấp.,new,2026-09-15T09:42:52.591194,
1622814529302847,low,"Chất lượng dịch vụ tổng đài kém, nhân viên thiếu nghiệp vụ.",new,2026-09-15T09:42:52.591194,
1622825575968409,medium,"Tranh chấp pháp lý kéo dài về người thụ hưởng, công ty thắng kiện, gia đình không nhận được bồi thường.",new,2026-09-15T09:42:52.591194,
1623049812612652,low,Tư vấn viên không nhận được thông báo.,new,2026-09-15T09:43:07.011968,
1623053212612312,medium,Chậm trễ 10 tháng chấp thuận người thụ hưởng sau khi NDBH qua đời.,new,2026-09-15T09:43:07.011968,
1623253472592286,low,"Nghi ngờ quy trình chi trả không đúng, thiếu minh bạch.",new,2026-09-15T09:43:19.289415,
1623272145923752,medium,"Vu kien tung keo dai, lien quan den quy trinh boi thuong va xac dinh nguoi thu huong.",new,2026-09-15T09:43:36.193246,
1623323232585310,medium,"Mâu thuẫn thông tin từ TVV và công ty, dẫn đến tranh chấp pháp lý.",new,2026-09-15T09:43:48.831521,
1623236859260614,low,Phàn nàn về quy trình xử lý hợp đồng kém hiệu quả.,new,2026-09-15T09:44:33.325428,
1623383009245999,low,"Phàn nàn về ràng buộc hợp đồng, giới hạn chi trả và chi phí cao của bảo hiểm tư nhân.",new,2026-09-15T09:47:49.767805,
1626971838887116,low,chất lượng tư vấn kém,new,2026-09-15T10:08:45.964799,
1626984048885895,low,Tu van vien bo mac khach hang,new,2026-09-15T10:10:12.604047,
2112636139337521,low,chinh sach cong ty han che quyen loi,new,2026-09-15T10:13:41.868972,
2114587512475717,low,Ngụ ý khó khăn trong chi trả bồi thường.,new,2026-09-15T10:16:57.359968,
2116402858960849,low,"Quyền lợi bảo hiểm không còn phù hợp nhu cầu, cảm thấy thiếu thốn.",new,2026-09-15T10:23:47.053011,
28683345404611194,low,Chỉ trích chất lượng tư vấn viên,new,2026-09-15T10:40:09.740338,
28702630329349368,low,Phàn nàn về quy trình tuyển dụng và thu nhập không minh bạch.,new,2026-09-15T10:40:37.254750,
28716647581280976,low,,new,2026-09-15T10:41:04.630419,
1755749185632405,low,,new,2026-09-15T10:41:04.630419,
1755874912286499,low,thieu minh bach thong tin danh sach benh vien,new,2026-09-15T10:41:34.126136,
1755875838953073,low,"khong minh bach ve phi tru bao lanh, dan den mat niem tin",new,2026-09-15T10:41:34.126136,
1756021612271829,low,lo ngai ve viec bi cat hop dong sau khi claim,new,2026-09-15T10:41:34.126136,
1751796209361036,low,Khách hàng bị từ chối bồi thường và mất niềm tin.,new,2026-09-15T10:41:49.497330,
1752040159336641,low,Khách hàng bức xúc về việc bị từ chối chi trả dựa trên dữ liệu VSSID.,new,2026-09-15T10:42:37.415845,
1752129152661075,medium,Cáo buộc bảo hiểm là lừa đảo và cố tình làm ngơ để chấm dứt hợp đồng.,new,2026-09-15T10:42:37.415845,
1752339552640035,low,Ám chỉ trải nghiệm tiêu cực khi sử dụng bảo hiểm lúc nằm viện.,new,2026-09-15T10:42:37.415845,
1752341259306531,low,Phàn nàn cá nhân về quy trình y tế ảnh hưởng bảo hiểm.,new,2026-09-15T10:42:54.896894,
1752358039304853,low,"Ngôn ngữ công kích cá nhân, gây tranh cãi.",new,2026-09-15T10:42:54.896894,
1752383235969000,low,Phàn nàn về quy trình thẩm định bệnh có sẵn gây khó khăn cho khách hàng.,new,2026-09-15T10:42:54.896894,
1752510592622931,low,Khách hàng cảm thấy bị đổ lỗi và bất công.,new,2026-09-15T10:43:09.605918,
1752538552620135,medium,"Tố cáo công ty bảo hiểm cố tình lừa đảo, thu tiền rồi từ chối chi trả.",new,2026-09-15T10:43:09.605918,
1752683762605614,low,nghi ngờ nhân viên lừa dối khách hàng,new,2026-09-15T10:43:27.338344,
1752716915935632,medium,giải thích hành vi gian lận của TVV gây ảnh hưởng uy tín ngành,new,2026-09-15T10:43:27.338344,
1752732912600699,medium,"từ chối chi trả ung thư vú, cáo buộc khách hàng giấu bệnh, khách hàng hủy 3 hợp đồng",new,2026-09-15T10:43:27.338344,
1752752979265359,low,phẫn nộ về việc từ chối chi trả bảo hiểm,new,2026-09-15T10:43:27.338344,
1752949702579020,medium,"Tố cáo lừa đảo bởi TVV và giám đốc chi nhánh, thiệt hại tài chính lớn.",new,2026-09-15T10:46:29.596475,
1753054522568538,low,Phàn nàn về quy trình khai báo y tế và việc mua bảo hiểm qua ngân hàng.,new,2026-09-15T10:46:29.596475,
1753058332568157,low,Phàn nàn về việc truy vết lịch sử y tế quá xa và ghi nhận bệnh án không chính xác.,new,2026-09-15T10:46:29.596475,
1753825189158138,low,"Quy trình sử dụng BHYT tại bệnh viện gây khó hiểu, bất tiện.",new,2026-09-15T10:46:57.726713,
1753888585818465,low,Chi phí BHYT theo công ty bị cho là đắt.,new,2026-09-15T10:46:57.726713,
1754579789082678,low,"Ép mua bảo hiểm, tư vấn không kỹ.",new,2026-09-15T10:47:09.826636,
1754864135720910,low,"Ép mua bảo hiểm, ghét ngân hàng.",new,2026-09-15T10:47:09.826636,
1755067305700593,low,Quan điểm tiêu cực về bảo hiểm.,new,2026-09-15T10:47:09.826636,
1755116519029005,low,Khách hàng bị cắt quyền lợi và từ chối chi trả.,new,2026-09-15T10:47:45.136977,
1755159475691376,low,Khách hàng cho rằng bị từ chối chi trả không hợp lý dù bệnh đã khỏi hoặc phát hiện sau khi mua.,new,2026-09-15T10:48:00.370658,
1755161665691157,low,Mất niềm tin vào ngành bảo hiểm do các hành vi tiêu cực.,new,2026-09-15T10:48:00.370658,
1755162942357696,low,Người dùng cảm thấy luôn thua thiệt khi tham gia bảo hiểm.,new,2026-09-15T10:48:00.370658,
1755181935689130,low,Chia sẻ kinh nghiệm tiêu cực cá nhân.,new,2026-09-15T10:48:16.045722,
1755240892349901,low,"Cảnh báo tiêu cực về rủi ro bị từ chối bồi thường, khuyên tránh xa BHNT.",new,2026-09-15T10:48:35.108061,
1755367119003945,low,"Tái khẳng định quan điểm tiêu cực, cảnh báo về 'niềm tin mù quáng' trong bảo hiểm.",new,2026-09-15T10:48:35.108061,
1755381872335803,low,Quy trình thẩm định và hoàn phí gây bất mãn.,new,2026-09-15T10:48:55.331385,
1755387875668536,low,Tố cáo hành vi từ chối bồi thường dựa trên lịch sử bệnh án không liên quan.,new,2026-09-15T10:48:55.331385,
1756248725582451,low,Khách hàng bức xúc vì bị từ chối bồi thường sau nhiều năm đóng phí do bệnh lý không được thẩm định rõ ràng từ đầu.,new,2026-09-15T10:49:11.973097,
1756283902245600,low,Quy trình kiểm tra sức khỏe sau ký hợp đồng gây bức xúc.,new,2026-09-15T10:49:34.135632,
1756795065527817,medium,"Tư vấn viên tư vấn sai, không kê khai bệnh lý, chối bỏ trách nhiệm, làm xấu ngành.",new,2026-09-15T10:49:34.135632,
1751530292720961,low,Khai sai thông tin trong hồ sơ bồi thường.,new,2026-09-15T10:55:30.231747,
1751553539385303,low,Phàn nàn cá nhân về việc TVV khai sai thông tin.,new,2026-09-15T10:55:56.952642,
1751603649380292,low,nguoi dung huy hop dong do khong hai long,new,2026-09-15T10:56:41.140314,
1751667426040581,low,rủi ro tăng phí/cắt thẻ khi claim nhiều,new,2026-09-15T11:01:58.611782,
1751670682706922,low,"Người dùng bức xúc về việc thẻ bảo hiểm bị cắt, ảnh hưởng quyền lợi.",new,2026-09-15T11:02:16.248682,
1751660849374572,low,"phí cao, loại trừ nhiều",new,2026-09-15T11:04:35.758828,
1751660976041226,low,khong mua duoc bao hiem,new,2026-09-15T11:04:35.758828,
